epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
78,181.343,1.27387,1.7384,0.29882,0.60165,0.00518,0.22232,0.94045,0.94444,0.97441,0.65762,0.9125,0.91667,0.95213,0.66217,1.29373,1.36006,0.24932,0.48752,0.0081,0,0.0012377,0.0012377,0.0012377
79,183.099,1.22714,1.9759,0.27411,0.55583,0.0058,0.4319,0.93606,0.94444,0.97572,0.65865,0.90817,0.91667,0.95343,0.66809,1.26035,1.3305,0.2473,0.468,0.00772,0,0.0012278,0.0012278,0.0012278
80,185.653,1.14789,1.67021,0.272,0.53582,0.00551,0.13402,0.91774,0.94444,0.97392,0.66749,0.94191,0.90105,0.9522,0.66469,1.20364,1.46372,0.24929,0.42618,0.00729,0,0.0012179,0.0012179,0.0012179
81,188.162,1.21571,1.79344,0.2833,0.58428,0.00551,0.42232,0.91449,0.94444,0.97298,0.66504,0.94149,0.89402,0.9522,0.67242,1.24131,1.43938,0.24952,0.43839,0.00762,0,0.001208,0.001208,0.001208
82,189.982,1.20817,1.79856,0.28099,0.54121,0.00545,0.26354,0.91449,0.94444,0.97298,0.66504,0.94149,0.89402,0.9522,0.67242,1.24131,1.43938,0.24952,0.43839,0.00762,0,0.0011981,0.0011981,0.0011981
83,191.733,1.22346,2.03869,0.28018,0.56529,0.00556,0.36258,0.91724,0.94444,0.97576,0.67698,0.9292,0.88889,0.95337,0.70617,1.22991,1.30161,0.24961,0.44378,0.00744,0,0.0011882,0.0011882,0.0011882
84,193.57,1.13414,1.51042,0.28561,0.51731,0.00634,0.55559,0.93239,0.94444,0.97617,0.65629,0.94223,0.90635,0.95473,0.68434,1.25782,1.38169,0.24945,0.45675,0.0079,0,0.0011783,0.0011783,0.0011783
85,195.388,1.14282,1.65371,0.28013,0.55184,0.00536,0.2052,0.9357,0.94444,0.97879,0.64538,0.90818,0.91667,0.95684,0.68139,1.26506,1.39779,0.25045,0.49013,0.00806,0,0.0011684,0.0011684,0.0011684
86,197.093,1.29943,2.31075,0.28739,0.72618,0.00664,1.18316,0.9357,0.94444,0.97879,0.64538,0.90818,0.91667,0.95684,0.68139,1.26506,1.39779,0.25045,0.49013,0.00806,0,0.0011585,0.0011585,0.0011585
87,199.153,1.03665,1.53609,0.275,0.52638,0.00489,0.16131,0.9361,0.94444,0.97797,0.66449,0.90856,0.91667,0.95565,0.71174,1.14876,1.27265,0.25318,0.455,0.00696,0,0.0011486,0.0011486,0.0011486
88,202.029,1.17112,1.96233,0.27574,0.49237,0.00585,1.01432,0.92555,0.94444,0.97603,0.67771,0.94214,0.90473,0.95435,0.6819,1.24504,1.45033,0.25683,0.43712,0.0077,0,0.0011387,0.0011387,0.0011387
89,204.188,1.19063,2.14017,0.30028,0.51568,0.00577,1.00482,0.91436,0.94444,0.97547,0.66471,0.94112,0.88808,0.94974,0.65303,1.32884,1.51668,0.26011,0.45878,0.0086,0,0.0011288,0.0011288,0.0011288
90,205.902,1.26233,2.01099,0.31227,0.58831,0.00505,0.34446,0.91436,0.94444,0.97547,0.66471,0.94112,0.88808,0.94974,0.65303,1.32884,1.51668,0.26011,0.45878,0.0086,0,0.0011189,0.0011189,0.0011189
91,207.608,1.30945,2.03886,0.29057,0.56053,0.007,0.6834,0.92053,0.96537,0.97908,0.65898,0.89405,0.93775,0.95292,0.66652,1.31542,1.37274,0.26155,0.44643,0.00834,0,0.001109,0.001109,0.001109
92,209.273,1.22096,1.63695,0.28753,0.52808,0.00606,0.37098,0.92232,0.98964,0.98206,0.67132,0.89643,0.96186,0.96059,0.68474,1.24091,1.39533,0.26173,0.42004,0.00747,0,0.0010991,0.0010991,0.0010991
93,211.004,1.10768,1.71719,0.27677,0.4841,0.00523,0.40754,0.91494,1,0.98206,0.6571,0.88928,0.97222,0.96059,0.65304,1.21946,1.53033,0.2616,0.41438,0.00735,0,0.0010892,0.0010892,0.0010892
94,212.732,1.25938,1.96694,0.277,0.54302,0.0065,1.01759,0.91494,1,0.98206,0.6571,0.88928,0.97222,0.96059,0.65304,1.21946,1.53033,0.2616,0.41438,0.00735,0,0.0010793,0.0010793,0.0010793
95,215.188,1.1774,1.82388,0.28378,0.49773,0.00554,0.40144,0.91537,1,0.98206,0.65569,0.88994,0.97222,0.96059,0.65685,1.20885,1.43701,0.25923,0.39624,0.00717,0,0.0010694,0.0010694,0.0010694
96,217.631,1.15611,1.84561,0.27988,0.5824,0.00528,0.56454,0.91326,1,0.98206,0.67068,0.88762,0.97222,0.96059,0.69389,1.21112,1.31567,0.25744,0.43338,0.0072,0,0.0010595,0.0010595,0.0010595
97,219.338,1.11901,1.62236,0.26603,0.45822,0.0055,0.31357,0.91778,1,0.98078,0.64515,0.89213,0.97222,0.96059,0.68721,1.40993,1.47178,0.25691,0.48588,0.00909,0,0.0010496,0.0010496,0.0010496
98,220.976,1.21294,1.93163,0.28686,0.46161,0.00675,0.94997,0.91778,1,0.98078,0.64515,0.89213,0.97222,0.96059,0.68721,1.40993,1.47178,0.25691,0.48588,0.00909,0,0.0010397,0.0010397,0.0010397
99,222.7,1.28074,1.95446,0.29779,0.54883,0.00625,0.62824,0.91752,1,0.98063,0.62625,0.89185,0.97222,0.96079,0.65171,1.50366,1.60834,0.26028,0.47098,0.01007,0,0.0010298,0.0010298,0.0010298
100,224.377,1.27433,1.63124,0.26799,0.54248,0.00611,0.26853,0.91868,1,0.98099,0.62878,0.893,0.97222,0.96079,0.64885,1.41952,1.47516,0.26047,0.45462,0.00942,0,0.0010199,0.0010199,0.0010199
101,226.148,1.31155,2.15874,0.27399,0.62077,0.00584,0.5233,0.91931,1,0.98005,0.66475,0.89366,0.97222,0.95986,0.69114,1.28636,1.28212,0.25857,0.39862,0.00814,0,0.00101,0.00101,0.00101
102,228.807,1.16134,1.54536,0.28214,0.46228,0.00499,0,0.91931,1,0.98005,0.66475,0.89366,0.97222,0.95986,0.69114,1.28636,1.28212,0.25857,0.39862,0.00814,0,0.0010001,0.0010001,0.0010001
103,232.579,1.2533,1.89404,0.26247,0.50464,0.00642,0.53167,0.91771,1,0.98078,0.66118,0.89208,0.97222,0.96059,0.71504,1.20028,1.42211,0.25475,0.40642,0.00738,0,0.0009902,0.0009902,0.0009902
104,234.274,1.12857,1.75029,0.27496,0.52177,0.00532,0.27604,0.91011,1,0.98078,0.66963,0.88413,0.97222,0.96059,0.68468,1.1944,1.65402,0.2538,0.45759,0.00722,0,0.0009803,0.0009803,0.0009803
105,235.967,1.19906,1.65975,0.2634,0.46266,0.00698,0.76531,0.89388,1,0.98186,0.66065,0.95384,0.88889,0.95924,0.67162,1.22331,1.58899,0.25314,0.44501,0.00723,0,0.0009704,0.0009704,0.0009704
106,237.649,1.15476,1.70503,0.2843,0.47489,0.00582,0.20031,0.89388,1,0.98186,0.66065,0.95384,0.88889,0.95924,0.67162,1.22331,1.58899,0.25314,0.44501,0.00723,0,0.0009605,0.0009605,0.0009605
107,239.403,1.15292,1.67822,0.26947,0.51554,0.00557,0.22302,0.89275,1,0.98091,0.67598,0.94555,0.88889,0.95924,0.6868,1.18327,1.34004,0.25238,0.45111,0.00676,0,0.0009506,0.0009506,0.0009506
108,241.064,1.058,1.26501,0.2743,0.45933,0.00576,0.29897,0.89445,1,0.98182,0.6827,0.86943,0.97222,0.96015,0.69467,1.22839,1.33953,0.25154,0.4692,0.00742,0,0.0009407,0.0009407,0.0009407
109,243.054,1.07541,1.59907,0.27193,0.46815,0.00526,0.29263,0.94276,0.94444,0.98242,0.6727,0.95032,0.88889,0.96076,0.67514,1.29062,1.4126,0.25224,0.48522,0.00821,0,0.0009308,0.0009308,0.0009308
